X,Y,objectid,id_1,buff_dist,orig_fid,created_user,created_date,last_edited_user,last_edited_date,cid,st_area_shape_,st_length_shape_
-79.896659974997121,40.456463681519622,1,TS110,40,1,,,SDE,2015-08-11T14:08:33.000Z,22,0,0
-79.93459727213984,40.458119023020387,2,TS73,40,2,,,SDE,2015-08-11T14:08:43.000Z,572,0,0
-79.915788849777485,40.460806474037824,3,TS151,40,3,,,SDE,2015-08-11T14:08:34.000Z,49,0,0
-79.943680429031716,40.408571179030737,4,TS573,40,4,,,SDE,2015-08-11T14:08:34.000Z,91,0,0
-80.001340476290821,40.45077558090324,5,TS34,40,5,,,SDE,2015-08-11T14:08:42.000Z,515,0,0
-79.948934464922758,40.463509170699098,6,TS616,40,6,,,SDE,2015-08-11T14:08:43.000Z,566,0,0
-79.954451816786502,40.480414374681978,7,TS174,40,7,,,SDE,2015-08-11T14:08:39.000Z,360,0,0
-79.986533517614916,40.437731493194967,8,TS340,40,8,,,SDE,2015-08-11T14:08:37.000Z,226,0,0
-79.909336089394913,40.376894675917832,9,TS141,40,9,,,SDE,2015-08-11T14:08:34.000Z,86,0,0
-79.971167469065705,40.428211057441096,10,TS586,40,10,,,SDE,2015-08-11T14:08:40.000Z,376,0,0
-80.004564651118088,40.455842902477094,11,TS603,40,11,,,SDE,2015-08-11T14:08:42.000Z,500,0,0
-80.003634663932004,40.439078347299123,12,TS26,40,12,,,SDE,2015-08-11T14:08:37.000Z,237,0,0
-79.94805102573973,40.484397804502024,13,TS641,40,13,,,SDE,2015-08-11T14:08:39.000Z,364,0,0
-80.002558176794423,40.449486944686143,14,TS416,40,14,,,SDE,2015-08-11T14:08:43.000Z,578,0,0
-79.916616168509762,40.458416356294535,15,TS673,40,15,,,SDE,2015-08-11T14:08:43.000Z,556,0,0
-79.955523380258001,40.411024325277559,16,TS88,40,16,,,SDE,2015-08-11T14:08:40.000Z,372,0,0
-79.948944436222391,40.461596161130934,17,TS592,40,17,,,SDE,2015-08-11T14:08:43.000Z,547,0,0
-79.995237227927404,40.443650157670746,18,TS433,40,18,,,SDE,2015-08-11T14:08:37.000Z,233,0,0
-79.927560545737123,40.432607559467222,19,TS404,40,19,,,SDE,2015-08-11T14:08:35.000Z,111,0,0
-79.922071480025053,40.459193493724356,20,TS512,40,20,,,SDE,2015-08-11T14:08:43.000Z,562,0,0
-80.039572484627101,40.475260532178496,21,TS39,40,21,,,SDE,2015-08-11T14:08:42.000Z,485,0,0
-79.945962716690318,40.460003626605072,22,TS423,40,22,,,SDE,2015-08-11T14:08:37.000Z,206,0,0
-79.997864761505909,40.453972849854502,23,TS266,40,23,,,SDE,2015-08-11T14:08:42.000Z,507,0,0
-79.987665784741722,40.396689687555444,24,TS163,40,24,,,SDE,2015-08-11T14:08:40.000Z,404,0,0
-79.873722649450571,40.459940845157213,25,TS372,40,25,,,SDE,2015-08-11T14:08:44.000Z,596,0,0
-79.954903608288973,40.450975758298199,26,TS116,40,26,,,SDE,2015-08-11T14:08:36.000Z,189,0,0
-80.007669634778509,40.447685871244438,27,TS548,40,27,,,SDE,2015-08-11T14:08:43.000Z,569,0,0
-80.001794832483441,40.441923516150169,28,TS422,40,28,,,SDE,2015-08-11T14:08:38.000Z,290,0,0
-79.912301342807851,40.463327460762606,29,TS458,40,29,,,SDE,2015-08-11T14:08:34.000Z,58,0,0
-79.907846334107504,40.484269090252532,30,TS16,40,30,,,SDE,2015-08-11T14:08:33.000Z,1,0,0
-80.043076760448159,40.478861671068152,31,TS566,40,31,,,SDE,2015-08-11T14:08:42.000Z,484,0,0
-80.014018286707881,40.452405090350879,32,TS149,40,32,,,SDE,2015-08-11T14:08:41.000Z,468,0,0
-79.96229021681674,40.468706992789301,33,TS175,40,33,,,SDE,2015-08-11T14:08:39.000Z,333,0,0
-79.962530285288196,40.427268404681442,34,TS657,40,34,,,SDE,2015-08-11T14:08:43.000Z,575,0,0
-79.964597046448901,40.425466297589615,35,TS643,40,35,,,SDE,2015-08-11T14:08:43.000Z,544,0,0
-80.000259796715824,40.443230512878436,36,TS493,40,36,,,SDE,2015-08-11T14:08:38.000Z,301,0,0
-79.981431352702444,40.437499855310989,37,TS331,40,37,,,SDE,2015-08-11T14:08:37.000Z,229,0,0
-79.992687589063834,40.453186160113546,38,TS232,40,38,,,SDE,2015-08-11T14:08:42.000Z,510,0,0
-79.908622022168828,40.470281071132263,39,TS477,40,39,,,SDE,2015-08-11T14:08:33.000Z,5,0,0
-79.948065934180207,40.461127629735223,40,TS278,40,40,,,SDE,2015-08-11T14:08:43.000Z,561,0,0
-80.000853884054223,40.444555331525571,41,TS345,40,41,,,SDE,2015-08-11T14:08:38.000Z,281,0,0
-80.018897189729529,40.451517911444256,42,TS17,40,42,,,SDE,2015-08-11T14:08:41.000Z,462,0,0
-79.954775518410926,40.444418112184827,43,TS119,40,43,,,SDE,2015-08-11T14:08:36.000Z,181,0,0
-80.001693385738392,40.453312080772136,44,TS207,40,44,,,SDE,2015-08-11T14:08:42.000Z,499,0,0
-80.009596952254284,40.414198109971132,45,TS427,40,45,,,SDE,2015-08-11T14:08:40.000Z,415,0,0
-80.021546456249681,40.394848842188054,46,TS154,40,46,,,SDE,2015-08-11T14:08:40.000Z,425,0,0
-80.018312328987392,40.449678312995012,47,TS15,40,47,,,SDE,2015-08-11T14:08:41.000Z,461,0,0
-79.964924896493315,40.452883179330499,48,TS90,40,48,,,SDE,2015-08-11T14:08:37.000Z,245,0,0
-80.014568096085952,40.453966343115596,49,TS146,40,49,,,SDE,2015-08-11T14:08:41.000Z,469,0,0
-79.922762983367818,40.465942844792153,50,TS271,40,50,,,SDE,2015-08-11T14:08:34.000Z,75,0,0
-79.943363213243657,40.451810753451134,51,TS78,40,51,,,SDE,2015-08-11T14:08:36.000Z,152,0,0
-79.988038590076229,40.41443398177519,52,TS31,40,52,,,SDE,2015-08-11T14:08:40.000Z,401,0,0
-80.010309656736084,40.447257463016264,53,TS646,40,53,,,SDE,2015-08-11T14:08:43.000Z,570,0,0
-79.923370693657517,40.441420070808597,54,TS468,40,54,,,SDE,2015-08-11T14:08:35.000Z,124,0,0
-80.025012629129662,40.466887483262305,55,TS145,40,55,,,SDE,2015-08-11T14:08:41.000Z,475,0,0
-79.977794969737374,40.384351063918039,56,TS165,40,56,,,SDE,2015-08-11T14:08:43.000Z,536,0,0
-79.92119884847321,40.429170567143721,57,TS360,40,57,,,SDE,2015-08-11T14:08:35.000Z,105,0,0
-79.971373834544352,40.459799621884962,58,TS499,40,58,,,SDE,2015-08-11T14:08:39.000Z,327,0,0
-80.026162748476125,40.398335201959476,59,TS157,40,59,,,SDE,2015-08-11T14:08:40.000Z,422,0,0
-79.897024188844213,40.455526176126682,60,TS405,40,60,,,SDE,2015-08-11T14:08:33.000Z,21,0,0
-79.995875843856155,40.44078288788446,61,TS388,40,61,,,SDE,2015-08-11T14:08:38.000Z,287,0,0
-79.922545605442124,40.455861713322562,62,TS528,40,62,,,SDE,2015-08-11T14:08:36.000Z,165,0,0
-79.935108160211584,40.46473401744656,63,TS385,40,63,,,SDE,2015-08-11T14:08:34.000Z,60,0,0
-80.025176260851907,40.417059094798596,64,TS569,40,64,,,SDE,2015-08-11T14:08:41.000Z,434,0,0
-80.010119451051082,40.412912130237935,65,TS642,40,65,,,SDE,2015-08-11T14:08:40.000Z,417,0,0
-79.957339144941784,40.45863368810236,66,TS115,40,66,,,SDE,2015-08-11T14:08:42.000Z,532,0,0
-80.010503553598582,40.4482964407267,67,TS630,40,67,,,SDE,2015-08-11T14:08:43.000Z,587,0,0
-79.927264608343194,40.486419403064332,68,TS391,40,68,,,SDE,2015-08-11T14:08:39.000Z,365,0,0
-79.99819405693961,40.396277716534271,69,TS523,40,69,,,SDE,2015-08-11T14:08:40.000Z,414,0,0
-80.00862750656934,40.455090668036142,70,TS40,40,70,,,SDE,2015-08-11T14:08:42.000Z,495,0,0
-80.004114055273263,40.44221295630566,71,TS497,40,71,,,SDE,2015-08-11T14:08:38.000Z,303,0,0
-80.021427694477538,40.441668168406835,72,TS172,40,72,,,SDE,2015-08-11T14:08:43.000Z,540,0,0
-79.997344306376363,40.392990073166878,73,TS460,40,73,,,SDE,2015-08-11T14:08:40.000Z,409,0,0
-79.938591214232375,40.455909700777056,74,TS2,40,74,,,SDE,2015-08-11T14:08:36.000Z,155,0,0
-80.034053077417994,40.441203074392376,75,TS9,40,75,,,SDE,2015-08-11T14:08:41.000Z,446,0,0
-80.028202869198765,40.44425668036407,76,TS205,40,76,,,SDE,2015-08-11T14:08:41.000Z,449,0,0
-79.960615682566953,40.42278432264159,77,TS650,40,77,,,SDE,2015-08-11T14:08:43.000Z,543,0,0
-79.950861451818497,40.452233514389086,78,TS213,40,78,,,SDE,2015-08-11T14:08:36.000Z,199,0,0
-79.977732645521272,40.437339023593239,79,TS550,40,79,,,SDE,2015-08-11T14:08:37.000Z,230,0,0
-80.029944473464255,40.41589940670351,80,TS58,40,80,,,SDE,2015-08-11T14:08:41.000Z,433,0,0
-79.995431691626848,40.441448386794946,81,TS562,40,81,,,SDE,2015-08-11T14:08:38.000Z,286,0,0
-79.916145359672726,40.43803575929708,82,TS94,40,82,,,SDE,2015-08-11T14:08:34.000Z,45,0,0
-80.00018034701715,40.437778040012539,83,TS27,40,83,,,SDE,2015-08-11T14:08:37.000Z,238,0,0
-79.949877335746635,40.46209257006204,84,TS426,40,84,,,SDE,2015-08-11T14:08:39.000Z,341,0,0
-79.928122860562254,40.467723210797885,85,TS273,40,85,,,SDE,2015-08-11T14:08:34.000Z,70,0,0
-79.89516214116037,40.447132511326842,86,TS136,40,86,,,SDE,2015-08-11T14:08:33.000Z,27,0,0
-79.988355021635044,40.437811207822406,87,TS327,40,87,,,SDE,2015-08-11T14:08:37.000Z,225,0,0
-79.964870498112973,40.448777451272306,88,TS561,40,88,,,SDE,2015-08-11T14:08:43.000Z,550,0,0
-80.027180855001689,40.446008466168095,89,TS664,40,89,,,SDE,2015-08-11T14:08:44.000Z,599,0,0
-79.978444935879722,40.454904508702121,90,TS504,40,90,,,SDE,2015-08-11T14:08:39.000Z,322,0,0
-79.957625830586622,40.441090212651822,91,TS54,40,91,,,SDE,2015-08-11T14:08:36.000Z,175,0,0
-79.977760919994836,40.454342436239116,92,TS585,40,92,,,SDE,2015-08-11T14:08:39.000Z,323,0,0
-79.945231366776483,40.465296984390214,93,TS462,40,93,,,SDE,2015-08-11T14:08:40.000Z,370,0,0
